cep,rua,bairro,id_cidade,id_bairro,nome_cidade,id_estado,nome_estado,sigla_estado,cidade_counts,latitude,longitude
38440167,"Avenida Coronel Teodolino Pereira Araújo, de 892 ao fim - lado par",Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447363,Rua Maria Aparecida de Oliveira Nascimento,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441141,"Rua Tocantins, até 749/750",Maria Eugênia,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443044,Rua João Rollo,São João,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442186,Rua Quinze,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440004,Praça Quinze de Novembro,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440222,Rua Rui Barbosa,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444259,Rua Um,Ouro Verde,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442174,Rua Manoel Assis Pereira,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441118,Rua Belizário Rodrigues da Cunha,Fátima,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446144,Travessa Coromandel,Amorim,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447227,Rua Augusto Carpaneda,Santa Terezinha,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444306,Rua Anhangüera,Jóquei Clube,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445224,Travessa Trinta e Dois,Sibipiruna,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38446230,Rua Bandeirante,Beatriz,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443046,Rua Venezuela,São João,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442034,Rua Nagib Farah Khedy,Industrial,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445112,Alameda Oito,Sibipiruna,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38443096,Praça Independência,Independência,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447394,Rua Oito,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445248,Rua Santo Antônio,Sibipiruna,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447034,Rua Ademar dos Reis,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38441112,Rua Boa Vista,Fátima,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447002,Rua Horácio de Morais,Milenium,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38444008,Rua Cláudio Manoel,Miranda,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440360,Rua Sibipiruna,Santa Helena,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38445206,Rua Vera Lúcia Mamede Ferreira,Sibipiruna,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442132,Rua Manoel Batista,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38447037,Rua Coronel Aurélio,Jardim Regina,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440008,Rua Bias Fortes,Centro,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38442089,Avenida Orlando César Vieira,Goiás,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38440278,Travessa Juca Chagas,Jardim Regina,555,11,Araguari,11,Minas Gerais,MG,1141,-18.6495105,-48.1859727
38182211,Rua Perimetral,Engenheiro Clovis Freitas Leal,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180131,Rua Roberto Borges,Leblon,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180456,Rua Rosângela Moura Barreto,Loteamento Max Newmann,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183150,Praça Doutor Alonso de Ávila,Centro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181436,Travessa Dois,Orozino Teixeira,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
